time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T090214,159.2,6089,161163,159.3,739,324559
20170111T090214,159.2,5089,160163,159.3,739,324559
20170111T090214,159.2,3455,158529,159.3,739,324559
20170111T090214,159.2,1835,156909,159.3,739,324559
20170111T090214,159.2,1819,156893,159.3,739,324559
20170111T090214,159.2,1174,156248,159.3,739,324559
20170111T090214,159.1,3125,155074,159.3,739,324559
20170111T090214,159.1,3125,155074,159.2,2016,326575
20170111T090214,159.1,2525,154774,159.2,2016,327118
20170111T090214,159.1,1835,151446,159.2,2016,328055
20170111T090214,159.1,1835,152436,159.2,2185,327248
20170111T090214,159.1,1835,152436,159.2,2459,327248
20170111T090214,159.1,1835,152436,159.2,2684,327473
20170111T090214,159.1,1835,152436,159.2,3164,327953
20170111T090214,159.1,1835,151836,159.2,3443,328232
20170111T090215,159.1,1835,152379,159.2,2963,326432
20170111T090215,159.1,1835,153579,159.2,947,325546
20170111T090215,159,3884,151744,159.2,947,325546
20170111T090215,159,3884,151744,159.1,181,325727
20170111T090215,159,3194,150061,159.1,181,325727
20170111T090216,159,3194,151664,159.1,308,326486
20170111T090218,159,3194,151666,159.1,127,320474
20170111T090218,159,3013,151485,159.1,127,320474
20170111T090219,159,3013,151485,159.1,405,325664
20170111T090219,159,3013,151485,159.1,630,325889
20170111T090219,159,3013,151485,159.1,913,326172
20170111T090219,159,3013,151485,159.1,1613,326872
20170111T090219,159,3013,151485,159.1,913,326172
20170111T090223,159,2986,150860,159.1,913,326445
20170111T090224,159,4799,154876,159.1,913,327658
20170111T090224,159,3967,154044,159.1,913,327658
20170111T090224,159,3958,154035,159.1,913,327658
20170111T090224,159,2458,152535,159.1,913,327658
20170111T090224,159,1829,151906,159.1,913,327658
20170111T090224,159,1813,151890,159.1,913,327658
20170111T090224,158.9,3381,150077,159.1,913,327658
20170111T090224,158.9,2781,149239,159.1,913,328434
20170111T090224,158.9,2449,148907,159.1,913,327896
20170111T090231,158.9,2449,152238,159.1,1331,328087
20170111T090233,159,70,152445,159.1,1331,328087
20170111T090233,158.9,2449,151175,159.1,1331,328087
20170111T090235,158.9,949,151175,159.1,1331,328244
20170111T090235,158.9,690,150916,159.1,1331,328244
20170111T090235,158.9,449,150675,159.1,1331,328244
20170111T090235,158.9,449,149175,159,600,328844
20170111T090235,158.9,449,149175,159.1,1331,328244
20170111T090235,158.8,600,147526,159.1,1331,328244
20170111T090235,158.7,3755,146926,159.1,1331,328244
20170111T090235,158.7,3755,146926,159.1,1931,328844
20170111T090235,158.7,3455,146626,159.1,1931,328844
20170111T090235,158.7,3155,146326,159.1,1931,328844
20170111T090235,158.7,2617,145788,159.1,1931,328844
20170111T090235,158.7,3057,147568,159.1,1931,329218
20170111T090235,158.7,3057,147568,159.1,2100,328849
20170111T090239,158.7,3657,151176,159.1,2100,328849
20170111T090239,158.7,3857,152276,159.1,2100,328849
20170111T090255,158.7,3857,152276,159,323,329172
20170111T090255,158.7,3857,152276,159,823,329672
20170111T090255,158.7,3857,152276,159,1028,328632
20170111T090255,158.7,3857,152276,159,1039,328643
20170111T090255,158.7,3857,152276,159,1539,329143
20170111T090255,158.7,3857,152276,159,1843,329447
20170111T090255,158.7,3857,152276,159,2068,329672
20170111T090255,158.7,3857,152276,159,2195,329799
20170111T090255,158.7,3857,152276,159,1695,329631
20170111T090255,158.7,3857,152276,159,1195,329131
20170111T090259,158.7,3857,152276,159,3195,332031
20170111T090259,158.7,3857,152276,159,3695,332531
20170111T090259,158.7,3857,152276,159,3195,332031
20170111T090300,158.7,4190,152609,159,3195,332033
20170111T090300,158.7,4740,153159,159,3195,332033
20170111T090300,158.7,4740,153159,159,3848,332686
20170111T090301,158.8,600,154759,159,3848,332686
20170111T090301,158.7,4740,154159,159,3848,332686
20170111T090301,158.8,650,154809,159,3848,332686
20170111T090301,158.8,650,155102,159,3837,332608
20170111T090301,158.8,959,155118,159,3837,332608
20170111T090301,158.8,309,154468,159,3837,332608
20170111T090302,158.8,309,155368,159,4255,332680
20170111T090305,158.8,769,155495,159,4255,332680
20170111T090305,158.8,769,155495,159,3932,332357
20170111T090305,158.8,769,155495,159,3727,332152
20170111T090305,158.8,769,155495,159,3423,331848
20170111T090305,158.8,769,155495,159,3198,331623
20170111T090305,158.8,769,155495,159,3071,331496
